Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Chad,4824,,170.0,,4430,,224,,10.0,114046.0,6783.0,16814496.0,2021-05-02 03:24:00+00:00
Saint Lucia,4560,,74.0,,4368,,118,2.0,401.0,40466.0,219536.0,184325.0,2021-05-02 03:24:00+00:00
Gibraltar,4283,,94.0,,4186,,3,1.0,2791.0,234751.0,6969421.0,33683.0,2021-05-02 03:24:00+00:00
Sierra Leone,4057,,79.0,,3076,,902,,10.0,152747.0,18832.0,8111176.0,2021-05-02 03:24:00+00:00
Channel Islands,4055,,86.0,,3956,,13,1.0,491.0,454413.0,2593770.0,175194.0,2021-05-02 03:24:00+00:00
Burundi,4018,,6.0,,773,,3239,,0.5,90019.0,7389.0,12182658.0,2021-05-02 03:24:00+00:00
Barbados,3863,,44.0,,3783,,36,,153.0,153836.0,534769.0,287668.0,2021-05-02 03:24:00+00:00
Comoros,3838,,146.0,,3674,,18,,165.0,,,884919.0,2021-05-02 03:24:00+00:00
Guinea-Bissau,3736,,67.0,,3327,,342,9.0,33.0,63774.0,31785.0,2006429.0,2021-05-02 03:24:00+00:00
Eritrea,3671,,10.0,,3492,,169,,3.0,23693.0,6605.0,3587124.0,2021-05-02 03:24:00+00:00
Vietnam,2942,,35.0,,2548,,359,,0.4,2598753.0,26500.0,98066119.0,2021-05-02 03:24:00+00:00
Liechtenstein,2936,,57.0,,2792,,87,6.0,1491.0,39109.0,1023287.0,38219.0,2021-05-02 03:24:00+00:00
New Zealand,2618,5.0,26.0,,2568,4.0,24,,5.0,2026948.0,405219.0,5002100.0,2021-05-02 03:24:00+00:00
Monaco,2457,,32.0,,2369,,56,1.0,811.0,51953.0,1316165.0,39473.0,2021-05-02 03:24:00+00:00
Bermuda,2393,,28.0,,1820,,545,28.0,451.0,239584.0,3858905.0,62086.0,2021-05-02 03:24:00+00:00
Turks and Caicos,2390,,17.0,,2343,,30,2.0,434.0,55521.0,1418125.0,39151.0,2021-05-02 03:24:00+00:00
Sao Tome and Principe,2302,,35.0,,2241,,26,,157.0,12999.0,58415.0,222528.0,2021-05-02 03:24:00+00:00
Timor-Leste,2276,,3.0,,1209,,1064,,2.0,66785.0,49868.0,1339228.0,2021-05-02 03:24:00+00:00
Sint Maarten,2230,,27.0,,2187,,16,1.0,624.0,26359.0,609034.0,43280.0,2021-05-02 03:24:00+00:00
Liberia,2099,,85.0,,1949,,65,2.0,16.0,95315.0,18487.0,5155897.0,2021-05-02 03:24:00+00:00
St. Vincent Grenadines,1864,,11.0,,1719,,134,2.0,99.0,45183.0,406201.0,111233.0,2021-05-02 03:24:00+00:00
Saint Martin,1745,,12.0,,1399,,334,7.0,306.0,27588.0,703560.0,39212.0,2021-05-02 03:24:00+00:00
Isle of Man,1589,,29.0,,1548,,12,1.0,340.0,44761.0,524091.0,85407.0,2021-05-02 03:24:00+00:00
Caribbean Netherlands,1559,,16.0,,1530,,13,,605.0,10025.0,379376.0,26425.0,2021-05-02 03:24:00+00:00
Antigua and Barbuda,1232,,32.0,,1014,,186,1.0,325.0,16700.0,169366.0,98603.0,2021-05-02 03:24:00+00:00
Mauritius,1211,,17.0,,1088,,106,,13.0,358675.0,281640.0,1273525.0,2021-05-02 03:24:00+00:00
Taiwan,1132,,12.0,,1053,,67,,0.5,539626.0,22623.0,23852669.0,2021-05-02 03:24:00+00:00
Bhutan,1106,,1.0,,990,,115,,1.0,707405.0,908489.0,778661.0,2021-05-02 03:24:00+00:00
St. Barth,974,,1.0,,462,,511,,101.0,26385.0,2664613.0,9902.0,2021-05-02 03:24:00+00:00
Laos,821,,,,51,,770,,,174234.0,23663.0,7363088.0,2021-05-02 03:24:00+00:00
Diamond Princess,712,,13.0,,699,,0,,,,,,2021-05-02 03:24:00+00:00
Faeroe Islands,664,,1.0,,662,,1,,20.0,253211.0,5165779.0,49017.0,2021-05-02 03:24:00+00:00
Cayman Islands,543,,2.0,,526,,15,,30.0,90031.0,1356665.0,66362.0,2021-05-02 03:24:00+00:00
Tanzania,509,,21.0,,183,,305,7.0,0.3,,,61137218.0,2021-05-02 03:24:00+00:00
Wallis and Futuna,444,,7.0,,44,,393,1.0,632.0,15256.0,1377641.0,11074.0,2021-05-02 03:24:00+00:00
Brunei,227,,3.0,,218,,6,,7.0,121153.0,274750.0,440958.0,2021-05-02 03:24:00+00:00
British Virgin Islands,194,,1.0,,191,,2,,33.0,38203.0,1256760.0,30398.0,2021-05-02 03:24:00+00:00
Dominica,174,,,,172,,2,,,14936.0,207056.0,72135.0,2021-05-02 03:24:00+00:00
Grenada,160,,1.0,,158,,1,,9.0,26331.0,233106.0,112957.0,2021-05-02 03:24:00+00:00
New Caledonia,124,,,,58,,66,,,30081.0,104529.0,287777.0,2021-05-02 03:24:00+00:00
Fiji,119,,2.0,,68,,49,,2.0,52040.0,57704.0,901844.0,2021-05-02 03:24:00+00:00
Anguilla,93,,,,29,,64,,,20933.0,1385007.0,15114.0,2021-05-02 03:24:00+00:00
Falkland Islands,63,,,,62,,1,,,7202.0,2020763.0,3564.0,2021-05-02 03:24:00+00:00
Macao,49,,,,49,,0,,,4483.0,6827.0,656676.0,2021-05-02 03:24:00+00:00
Saint Kitts and Nevis,45,,,,44,,1,,,13691.0,255849.0,53512.0,2021-05-02 03:24:00+00:00
Greenland,31,,,,31,,0,,,20669.0,363558.0,56852.0,2021-05-02 03:24:00+00:00
Vatican City,27,,,,15,,12,,,,,803.0,2021-05-02 03:24:00+00:00
Saint Pierre Miquelon,25,,,,25,,0,,,5318.0,921664.0,5770.0,2021-05-02 03:24:00+00:00
Montserrat,20,,1.0,,19,,0,,200.0,1313.0,262863.0,4995.0,2021-05-02 03:24:00+00:00
Solomon Islands,20,,,,20,,0,,,4500.0,6421.0,700795.0,2021-05-02 03:24:00+00:00
Western Sahara,10,,1.0,,8,,1,,2.0,,,609468.0,2021-05-02 03:24:00+00:00
