Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Montenegro,97619,102.0,1505.0,3.0,93874,173.0,2240,69.0,2396.0,377946.0,601698.0,628132.0,2021-05-03 01:01:00+00:00
Kyrgyzstan,96060,308.0,1619.0,7.0,89719,258.0,4722,72.0,245.0,996830.0,150723.0,6613663.0,2021-05-03 01:01:00+00:00
Ghana,92601,,779.0,,90248,,1574,7.0,25.0,1081113.0,34200.0,31611160.0,2021-05-03 01:01:00+00:00
Zambia,91693,23.0,1253.0,2.0,90082,70.0,358,48.0,67.0,1409851.0,74952.0,18809998.0,2021-05-03 01:01:00+00:00
Uzbekistan,91643,393.0,652.0,2.0,87628,315.0,3363,23.0,19.0,1377915.0,40679.0,33872676.0,2021-05-03 01:01:00+00:00
China,90686,15.0,4636.0,,85725,15.0,325,4.0,3.0,160000000.0,111163.0,1439323776.0,2021-05-03 01:01:00+00:00
Finland,87228,132.0,914.0,,46000,,40314,31.0,165.0,4497845.0,810728.0,5547911.0,2021-05-03 01:01:00+00:00
Cameroon,72250,,1107.0,,67625,,3518,385.0,41.0,1257949.0,46430.0,27093330.0,2021-05-03 01:01:00+00:00
Mozambique,69984,19.0,815.0,1.0,66931,48.0,2238,43.0,25.0,521012.0,16292.0,31980047.0,2021-05-03 01:01:00+00:00
El Salvador,69198,,2132.0,8.0,64876,,2190,31.0,327.0,914674.0,140427.0,6513517.0,2021-05-03 01:01:00+00:00
Thailand,68984,1940.0,245.0,21.0,39481,1406.0,29258,954.0,4.0,8124896.0,116159.0,69946261.0,2021-05-03 01:01:00+00:00
Luxembourg,67397,,797.0,,63661,,2939,34.0,1256.0,2673110.0,4213318.0,634443.0,2021-05-03 01:01:00+00:00
Cyprus,66372,463.0,313.0,1.0,39061,,26998,71.0,258.0,4930468.0,4059041.0,1214688.0,2021-05-03 01:01:00+00:00
Singapore,61218,39.0,31.0,,60786,21.0,401,,5.0,9536636.0,1619480.0,5888704.0,2021-05-03 01:01:00+00:00
Afghanistan,60288,166.0,2642.0,5.0,53391,119.0,4255,1124.0,67.0,406816.0,10259.0,39655375.0,2021-05-03 01:01:00+00:00
Namibia,48654,,643.0,,46238,,1773,37.0,249.0,388574.0,150661.0,2579129.0,2021-05-03 01:01:00+00:00
Botswana,46934,,712.0,,44960,,1262,1.0,298.0,999041.0,417827.0,2391038.0,2021-05-03 01:01:00+00:00
Ivory Coast,46114,,286.0,,45582,,246,,11.0,594288.0,22077.0,26919483.0,2021-05-03 01:01:00+00:00
Jamaica,45867,90.0,784.0,5.0,21293,140.0,23790,22.0,264.0,333911.0,112354.0,2971955.0,2021-05-03 01:01:00+00:00
Uganda,41905,,342.0,,41422,,141,24.0,7.0,1017854.0,21687.0,46934679.0,2021-05-03 01:01:00+00:00
Senegal,40433,45.0,1110.0,1.0,39158,48.0,165,11.0,65.0,482800.0,28219.0,17109288.0,2021-05-03 01:01:00+00:00
