Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
Guinea,22853,153.0,20476,2224,24.0,11.0,446006.0,33177.0,13443299.0,23,1.0,55,-33,2021-05-19 02:01:00+00:00
French Guiana,22115,110.0,9995,12010,26.0,360.0,240988.0,789004.0,305433.0,270,1.0,0,269,2021-05-19 02:01:00+00:00
Mayotte,20176,171.0,2964,17041,6.0,614.0,176919.0,635122.0,278559.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Mauritania,18905,457.0,18163,285,14.0,96.0,251750.0,52931.0,4756222.0,47,0.0,30,17,2021-05-19 02:01:00+00:00
French Polynesia,18828,141.0,18658,29,1.0,499.0,26355.0,93347.0,282334.0,12,0.0,2,10,2021-05-19 02:01:00+00:00
Eswatini,18525,672.0,17806,47,3.0,574.0,202106.0,172637.0,1170696.0,2,0.0,3,-1,2021-05-19 02:01:00+00:00
Trinidad and Tobago,17150,317.0,10515,6318,15.0,226.0,159982.0,113990.0,1403470.0,601,23.0,145,433,2021-05-19 02:01:00+00:00
Guadeloupe,16017,221.0,2242,13554,33.0,552.0,195404.0,488285.0,400184.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Guyana,15454,345.0,13252,1857,14.0,437.0,139212.0,176243.0,789885.0,102,1.0,167,-66,2021-05-19 02:01:00+00:00
Somalia,14575,762.0,6579,7234,,47.0,123568.0,7590.0,16279614.0,89,9.0,254,-174,2021-05-19 02:01:00+00:00
Mali,14207,511.0,9309,4387,,25.0,285361.0,13746.0,20758950.0,13,0.0,19,-6,2021-05-19 02:01:00+00:00
Papua New Guinea,14206,136.0,11336,2734,,15.0,110286.0,12126.0,9095184.0,499,0.0,302,197,2021-05-19 02:01:00+00:00
Andorra,13569,127.0,13234,208,12.0,1641.0,193595.0,2502068.0,77374.0,14,0.0,23,-9,2021-05-19 02:01:00+00:00
Haiti,13520,274.0,12437,809,,24.0,60085.0,5214.0,11524323.0,60,3.0,2,55,2021-05-19 02:01:00+00:00
Burkina Faso,13404,165.0,13210,29,,8.0,184433.0,8617.0,21402842.0,7,1.0,11,-5,2021-05-19 02:01:00+00:00
Tajikistan,13308,90.0,13218,0,,9.0,,,9724685.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Togo,13286,125.0,11950,1211,,15.0,324533.0,38415.0,8448075.0,7,0.0,49,-42,2021-05-19 02:01:00+00:00
Belize,12745,323.0,12342,80,1.0,800.0,126706.0,313675.0,403940.0,3,0.0,0,3,2021-05-19 02:01:00+00:00
Curaçao,12257,120.0,12077,60,18.0,729.0,104714.0,635856.0,164682.0,1,0.0,8,-7,2021-05-19 02:01:00+00:00
Suriname,12251,238.0,10432,1581,28.0,403.0,56548.0,95643.0,591242.0,144,8.0,107,29,2021-05-19 02:01:00+00:00
Martinique,11866,93.0,98,11675,10.0,248.0,174717.0,465901.0,375009.0,130,3.0,0,127,2021-05-19 02:01:00+00:00
Hong Kong,11827,210.0,11535,82,2.0,28.0,14841321.0,1965648.0,7550344.0,1,0.0,4,-3,2021-05-19 02:01:00+00:00
Djibouti,11455,151.0,11280,24,,151.0,154702.0,154612.0,1000579.0,21,0.0,14,7,2021-05-19 02:01:00+00:00
Congo,11343,148.0,8208,2987,,26.0,141948.0,25183.0,5636584.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
Bahamas,11278,221.0,10121,936,8.0,557.0,93155.0,234920.0,396539.0,53,0.0,41,12,2021-05-19 02:01:00+00:00
Aruba,10869,105.0,10685,79,14.0,980.0,158942.0,1483166.0,107164.0,12,0.0,13,-1,2021-05-19 02:01:00+00:00
Lesotho,10790,320.0,6427,4043,,148.0,87981.0,40786.0,2157149.0,0,0.0,0,0,2021-05-19 02:01:00+00:00
